doc_id,pid,condition,stance,task_number,exclude_from_classifier,word_count,char_count,sentence_count,avg_sentence_length,sentence_length_stddev,avg_word_length,type_token_ratio,hapax_ratio,flesch_kincaid_grade,flesch_reading_ease,first_person_rate_per1k,second_person_rate_per1k,hedging_rate_per1k,contraction_rate_per1k,punctuation_density,exclamation_rate_per1k,question_rate_per1k,overlap_score,trigram_containment_max,lcs_ratio_max,seq_ratio_max,n_assistant_messages,talked_to_ai,ai_label
P34_AGAINST,34,test,AGAINST,2,True,302,2151,12,25.167,9.666,6.017,0.606,0.4272,17.04,17.69,0.0,0.0,9.93,3.31,0.0177,0.0,0.0,0.8326,0.6828,0.2062,0.8326,5,True,high
P34_FOR,34,test,FOR,1,False,348,2476,14,24.857,10.596,5.994,0.7213,0.6092,16.96,17.75,0.0,0.0,5.75,2.87,0.0194,0.0,0.0,0.5799,0.4071,0.3817,0.5799,8,True,mixed
P39_AGAINST,39,control,AGAINST,1,False,204,1247,13,15.692,5.836,4.995,0.6275,0.4461,10.31,49.08,19.61,0.0,14.71,4.9,0.0241,0.0,0.0,0.996,0.9798,0.7963,0.996,1,True,high
P39_FOR,39,control,FOR,2,False,205,1251,11,18.636,5.316,4.995,0.6195,0.4439,11.36,46.78,0.0,0.0,9.76,14.63,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0,True,low
P40_AGAINST,40,test,AGAINST,1,False,227,1340,12,18.917,7.728,4.841,0.5991,0.4449,10.66,52.35,22.03,13.22,4.41,8.81,0.0127,0.0,0.0,0.1986,0.0,0.0142,0.1986,1,True,low
P40_FOR,40,test,FOR,2,False,230,1286,14,16.429,5.08,4.439,0.5478,0.3783,7.7,69.15,8.7,0.0,0.0,0.0,0.0132,4.35,0.0,0.1907,0.0087,0.014,0.1907,1,True,low
P42_AGAINST,42,test,AGAINST,2,False,310,2485,17,18.235,5.449,6.861,0.7226,0.5774,18.01,-1.61,0.0,0.0,3.23,3.23,0.0213,0.0,0.0,0.9814,0.8885,0.1719,0.9814,1,True,high
P42_FOR,42,test,FOR,1,False,328,2412,19,17.263,6.279,6.168,0.6829,0.5457,14.78,19.85,6.1,0.0,9.15,12.2,0.0245,0.0,0.0,0.9942,0.8972,0.1833,0.9942,1,True,high
P43_AGAINST,43,control,AGAINST,1,False,324,2367,18,18,7.685,6.182,0.6728,0.5432,15.18,18.32,6.17,0.0,12.35,9.26,0.022,0.0,0.0,0.9966,0.9361,0.3992,0.9966,1,True,high
P43_FOR,43,control,FOR,2,False,403,2925,26,15.5,7.819,6.087,0.6824,0.5658,13.59,25.26,2.48,0.0,2.48,12.41,0.0232,0.0,0.0,0.823,0.6506,0.2025,0.823,2,True,high
P44_AGAINST,44,test,AGAINST,1,False,224,1727,14,16,5.588,6.554,0.7232,0.6116,16.2,7.42,0.0,0.0,8.93,4.46,0.0208,0.0,0.0,0.9954,0.8991,0.3089,0.9954,3,True,high
P44_FOR,44,test,FOR,2,True,220,1553,11,20,7.523,5.864,0.6818,0.55,15.43,20.03,0.0,0.0,4.55,0.0,0.0245,0.0,0.0,0.9424,0.8657,0.4518,0.9424,1,True,high
P45_AGAINST,45,control,AGAINST,2,False,266,1926,15,17.733,5.161,6.102,0.703,0.5677,15.15,18.05,0.0,0.0,15.04,0.0,0.0208,0.0,0.0,0.9948,0.8837,0.2538,0.9948,3,True,high
P45_FOR,45,control,FOR,1,False,290,2091,14,20.714,6.877,6.093,0.7034,0.5793,16.7,12.23,10.34,0.0,3.45,3.45,0.0158,0.0,0.0,1.0,1.0,1.0,1.0,2,True,high
P48_FOR,48,test,FOR,2,False,206,1225,12,17.167,9.311,4.796,0.6019,0.4515,10.07,53.48,38.83,4.85,9.71,19.42,0.0253,0.0,0.0,0.2567,0.005,0.0418,0.2567,5,True,mixed
