response_id,control_doc_id,test_doc_id,stance,chose_control,confidence,time_spent_seconds,expanded_control,expanded_test,tercile
1172,P17_AGAINST,P40_AGAINST,AGAINST,False,5,3.6,False,False,middle
1173,P43_FOR,P34_FOR,FOR,False,,1.0,False,False,middle
1174,P19_AGAINST,P22_AGAINST,AGAINST,False,1,12.6,True,True,late
1175,P39_FOR,P30_FOR,FOR,False,,83.0,False,False,early
1176,P33_AGAINST,P34_AGAINST,AGAINST,False,,14.7,False,False,middle
1177,P39_AGAINST,P24_AGAINST,AGAINST,True,,44.3,True,True,early
1178,P19_AGAINST,P26_AGAINST,AGAINST,True,4,6.0,False,False,middle
1179,P25_FOR,P48_FOR,FOR,False,5,22.5,False,False,early
1180,P43_AGAINST,P16_AGAINST,AGAINST,False,4,77.1,True,True,early
1181,P27_FOR,P26_FOR,FOR,False,3,60.1,True,True,early
1182,P25_AGAINST,P22_AGAINST,AGAINST,False,4,51.0,True,True,early
1183,P39_AGAINST,P30_AGAINST,AGAINST,False,4,31.8,True,True,early
1184,P19_AGAINST,P34_AGAINST,AGAINST,False,3,41.1,True,True,early
1185,P33_FOR,P34_FOR,FOR,False,2,220.0,True,False,middle
1186,P39_FOR,P30_FOR,FOR,False,2,120.9,True,True,middle
1187,P27_AGAINST,P42_AGAINST,AGAINST,False,4,42.9,True,False,middle
1188,P19_FOR,P16_FOR,FOR,True,4,48.9,False,True,middle
1189,P33_AGAINST,P26_AGAINST,AGAINST,False,4,53.1,False,True,middle
1190,P17_FOR,P44_FOR,FOR,True,4,26.2,True,True,middle
1191,P17_AGAINST,P18_AGAINST,AGAINST,True,3,141.2,True,True,late
1192,P45_AGAINST,P24_AGAINST,AGAINST,True,3,53.1,True,True,late
1193,P43_FOR,P40_FOR,FOR,False,5,11.5,False,False,late
1194,P29_FOR,P32_FOR,FOR,False,2,64.4,True,True,late
1195,P45_FOR,P24_FOR,FOR,True,2,23.4,False,False,late
1196,P29_AGAINST,P40_AGAINST,AGAINST,False,5,10.9,False,False,late
